1; matematica; Quanto fa 2 + 2 ; 4; 6; 8; -1; 1
1; matematica; Quanto fa 2 + 2 ; 4; 6; 8; -1; 1
1; matematica; Quanto fa 2 + 2 ; 4; 6; 8; -1; 1
1; matematica; Quanto fa 2 + 2 ; 4; 6; 8; -1; 1
1; matematica; Quanto fa 2 + 2 ; 4; 6; 8; -1; 1
1; matematica; Quanto fa 3 / 3 ; 4; 6; 8; 1; 4
1; matematica; Quanto fa 3 / 3 ; 4; 6; 8; 1; 4
1; matematica; Quanto fa 3 / 3 ; 4; 6; 8; 1; 4
1; matematica; Quanto fa 3 / 3 ; 4; 6; 8; 1; 4
1; matematica; Quanto fa 3 / 3 ; 4; 6; 8; 1; 4
1; matematica; Quanto fa 10 x 5 ; 45; 60; 50; 10; 3
1; matematica; Quanto fa 10 x 5 ; 45; 60; 50; 10; 3
1; matematica; Quanto fa 10 x 5 ; 45; 60; 50; 10; 3
1; matematica; Quanto fa 10 x 5 ; 45; 60; 50; 10; 3
1; matematica; Quanto fa 10 x 5 ; 45; 60; 50; 10; 3
1; matematica; Qual e' la formula di Einstein ; E=mc^2; F=ma; E=c^2m; F=mg; [1, 3]
1; matematica; Qual e' la formula di Einstein ; E=mc^2; F=ma; E=c^2m; F=mg; [1, 3]
1; matematica; Qual e' la formula di Einstein ; E=mc^2; F=ma; E=c^2m; F=mg; [1, 3]
1; matematica; Qual e' la formula di Einstein ; E=mc^2; F=ma; E=c^2m; F=mg; [1, 3]
1; matematica; Qual e' la formula di Einstein ; E=mc^2; F=ma; E=c^2m; F=mg; [1, 3]
